Día,Impr.,Usuarios únicos,Clics,Coste,Resultados
2023-12-27,3696,--,438,213895,6
2024-08-21,3684,--,369,207192,19
2026-01-06,3674,--,539,352937,3
2023-12-14,3669,--,424,267051,11
2025-09-02,3664,--,371,191242,2
2025-08-11,3635,--,371,235180,6
2025-09-03,3605,--,353,148820,2
2024-08-14,3583,--,357,215077,10
2026-01-18,3557,--,492,363781,5
2024-08-16,3546,--,329,209345,20
2024-08-17,3514,--,317,214874,14
2024-10-09,3481,--,271,219354,7
2025-09-08,3471,--,328,182846,1
2025-08-01,3464,--,220,119890,2
2025-09-10,3464,--,351,181379,2
2025-07-21,3448,--,342,158246,1
2025-09-26,3441,--,334,146575,1
2025-09-14,3431,--,371,152540,2
2026-02-03,3430,--,245,297244,1
2026-03-27,3430,--,195,284083,1
2024-02-19,3418,--,364,227590,12
2025-07-20,3414,--,341,158640,2
2024-06-05,3391,--,378,292553,25
2024-10-04,3362,--,269,236368,10
2026-01-19,3336,--,503,306590,4
2025-07-23,3328,--,311,181664,3
2026-04-30,3323,--,257,194718,0
2024-10-07,3311,--,303,234283,12
2023-12-15,3299,--,384,203121,8
2023-12-22,3297,--,361,192347,16
2026-04-09,3285,--,245,210540,2
2025-09-05,3268,--,330,148474,2
2024-03-09,3265,--,405,255757,20
2024-03-04,3260,--,425,224288,12
2025-07-24,3256,--,335,167691,5
2024-03-30,3254,--,539,204474,17
2023-08-16,3249,--,482,204496,36
2024-03-02,3220,--,409,219013,14
2024-04-08,3192,--,399,213150,17
2025-08-28,3191,--,367,224806,7
2025-12-01,3184,--,507,333188,13
2024-05-12,3178,--,306,320178,24
2024-02-29,3134,--,409,225940,10
2024-02-17,3106,--,360,213668,19
2023-11-01,3102,--,423,278632,23
2026-04-10,3094,--,263,259328,1
2024-09-25,3092,--,341,244713,17
2025-09-15,3091,--,359,175889,4
2026-05-30,3077,--,130,69205,0
2025-09-11,3074,--,316,186132,3
2024-02-28,3069,--,415,268431,14
2024-04-16,3064,--,380,224652,23
2024-05-13,3029,--,375,340890,19
2024-04-15,3026,--,362,203331,13
2024-03-31,2978,--,488,216134,21
2024-05-14,2975,--,364,362022,18
2025-09-17,2965,--,362,288414,2
2025-09-27,2964,--,298,97669,1
2025-09-04,2954,--,346,139383,3
2024-05-15,2939,--,391,340215,18
2024-09-27,2934,--,358,191755,11
2024-04-11,2930,--,371,225336,14
2024-04-22,2917,--,364,202525,12
2024-05-18,2895,--,382,345896,17
2024-04-01,2885,--,468,238536,25
